StoreNumber,Country,Longitude,Latitude
3,USA,-82.83015842,39.92040094
4,USA,-122.297141,47.579329
5,USA,-96.92775366,35.38159618
8,USA,-92.29656484,38.95326418
9,USA,-83.76399726,40.32981343
10,USA,-122.249427,47.4614
12,USA,-86.841603,40.4189398
15,USA,-111.98353,41.087749
16,USA,-87.48828774,37.35036858
18,USA,-116.800278,47.701806
19,USA,-83.12023614,41.37221485
21,USA,-156.4536071,20.88143838
22,USA,-76.42531,40.307065
26,USA,-122.5032,47.235188
28,USA,-94.95313927,29.39746539
31,USA,-82.450417,35.330394
33,USA,-84.74701797,33.39328773
35,USA,-122.343891,48.44067
37,USA,-83.11938755,40.02812712
40,USA,-122.182175,47.631433
42,USA,-84.28763934,39.81944415
44,USA,-80.67230043,40.37230254
46,USA,-86.42662129,42.07983469
52,USA,-87.63152732,40.18826337
53,USA,-85.19939254,41.07655027
56,USA,-118.04733,33.89553
57,USA,-91.14908824,40.81216014
59,USA,-88.72638031,41.94843632
61,USA,-122.186014,48.151105
63,USA,-102.1605182,32.01346695
66,USA,-88.96195209,38.31022499
69,USA,-85.17397347,42.25923209
71,USA,-85.89540997,41.61732545
72,USA,-97.06892421,36.74716003
75,USA,-98.53742804,33.88035727
77,USA,-82.65913294,41.40724294
80,USA,-88.25483797,40.13913125
82,USA,-94.71104162,31.31376964
86,USA,-76.0966,36.8124
88,USA,-84.0307734,41.8763506
89,USA,-84.04732558,39.77399411
90,USA,-100.507146,31.42790845
91,USA,-88.50747048,34.9143518
92,USA,-90.377838,40.977216
95,USA,-94.16493254,30.11876229
97,USA,-94.97610363,29.77974014
98,USA,-95.71367938,29.78312916
102,USA,-104.86735,39.684869
103,USA,-96.32647837,30.65843062
104,USA,-90.48291906,41.46889524
107,USA,-90.5243399,41.56165391
110,USA,-80.869932,40.074607
113,USA,-77.6142,37.5148
116,USA,-85.43791327,40.21695577
117,USA,-90.73213234,42.48799015
118,USA,-87.84736244,41.15891654
119,USA,-158.003502,21.399496
120,USA,-79.844391,40.138672
124,USA,-95.33081278,35.76798485
126,USA,-85.09065471,41.09525616
127,USA,-96.60739964,33.667993
129,USA,-97.16900036,31.52499386
137,USA,-95.456358,29.042211
138,USA,-99.76644877,32.40200904
139,USA,-80.4508,41.2315
140,USA,-122.054237,47.551203
145,USA,-86.2233876,39.9084657
146,USA,-84.4360465,42.26778767
149,USA,-122.19643,47.9775
152,USA,-120.319848,47.441796
159,USA,-97.95193463,29.8541033
165,USA,-79.952473,40.877597
167,USA,-89.63808531,40.74795281
168,USA,-84.59914494,39.42470074
172,USA,-117.33522,47.65678
174,USA,-94.10055943,33.44809799
175,USA,-78.8304,40.3061
177,USA,-81.756338,32.434316
178,USA,-111.69858,40.274309
179,USA,-82.678669,30.180145
180,USA,-79.596324,40.306186
181,USA,-83.11942824,39.91841079
183,USA,-97.08992656,33.19702323
186,USA,-91.06552395,30.37589208
187,USA,-79.7554,39.9025
188,USA,-80.63287938,41.03166388
190,USA,-84.788804,34.202038
191,USA,-88.97747906,42.27093193
195,USA,-86.89014789,41.67246361
197,USA,-79.193538,40.622116
199,USA,-86.19391917,43.20240576
200,USA,-86.18465483,41.70248444
202,USA,-76.00445054,42.09888148
203,USA,-84.22207371,39.64071068
205,USA,-97.94211342,36.38909745
207,USA,-84.10788388,39.64469636
208,USA,-116.28939,33.70883
209,USA,-97.72216228,31.08750182
210,USA,-82.02898424,39.99111245
211,USA,-85.67674572,40.53505459
212,USA,-88.1254983,30.68180456
215,USA,-87.41235377,39.40759513
217,USA,-75.65721415,39.63198037
220,USA,-105.16696,39.9634
221,USA,-97.36166044,31.06994359
222,USA,-81.43509457,40.87381187
223,USA,-77.23521568,39.12492081
224,USA,-82.11882162,41.39749176
226,USA,-80.0891,42.0565
231,USA,-84.35697555,41.30629289
232,USA,-95.47991614,30.3273675
235,USA,-93.096625,35.283214
236,USA,-92.4434316,35.10923845
240,USA,-80.451138,27.640416
241,USA,-97.05335568,36.13880336
242,USA,-75.642863,41.453047
243,USA,-95.86242314,36.05895751
244,USA,-80.74304106,41.22850261
245,USA,-88.95214673,39.92153524
246,USA,-104.98967,39.89047
247,USA,-77.4588,37.6345
248,USA,-122.857446,42.3673452
249,USA,-119.2221,46.2156
250,USA,-118.30892,33.824049
252,USA,-122.344163,47.720088
255,USA,-84.1670518,40.77318015
258,USA,-89.714523,39.76269669
264,USA,-82.58816525,40.77844606
265,USA,-82.9218707,40.05496278
268,USA,-97.51400004,35.38944884
269,USA,-81.43860339,40.47586245
270,USA,-101.923258,35.1569645
271,USA,-101.9387332,33.546467
272,USA,-86.01363388,39.80286827
275,USA,-86.26618062,39.77726
278,USA,-94.48037713,37.06143053
279,USA,-75.92841169,40.37313941
281,USA,-85.8611967,31.33234994
282,USA,-96.99629286,28.8736135
285,USA,-122.2755,47.8201
288,USA,-86.04746087,39.90002933
289,USA,-149.878254,61.18181
292,USA,-76.007701,40.967274
297,USA,-81.15771857,40.90332797
298,USA,-83.80966185,39.45027912
303,USA,-84.3317316,39.48991844
305,USA,-94.81211266,39.80546426
311,USA,-104.883119,39.596538
313,USA,-86.84035616,34.15667286
316,USA,-117.740093,34.014674
317,USA,-89.58263398,37.29594991
318,USA,-104.62172,38.30908
319,USA,-108.583116,45.755482
321,USA,-119.79408,39.47578
330,USA,-86.09440613,42.82060076
340,USA,-105.082204,39.795846
342,USA,-111.901889,40.67092
351,USA,-95.9514605,36.74135178
356,USA,-76.92087318,41.25968739
357,USA,-86.12955624,40.43946879
358,USA,-80.158181,33.032706
377,USA,-80.8538,35.0878
381,USA,-77.555055,37.639045
385,USA,-81.1509,34.08
387,USA,-79.8374,36.1161
388,USA,-78.9669,35.0673
390,USA,-86.619795,36.1931
397,USA,-77.5148,38.7904
402,USA,-76.8966,38.641
403,USA,-81.1437,31.9799
404,USA,-79.8891,36.0546
408,USA,-80.7426,35.2928
410,USA,-78.89213454,33.71432099
411,USA,-86.56904361,34.6425296
413,USA,-86.71134773,36.27891716
414,USA,-90.674529,35.81874
415,USA,-76.6777092,39.97700669
416,USA,-80.9666,34.9369
417,USA,-84.235888,30.479175
418,USA,-82.374369,29.626143
419,USA,-79.9641,37.3179
